seed,run_date,run,target,driver,decile1_mean,decile10_mean,spread,abs_spread
20260916,2026-09-16,por,terminal_cash_rank,step_office_usd_head_yr,0.497750,0.486784,-0.010965,0.010965
20260916,2026-09-16,por,terminal_cash_rank,step_dpia_audit_usd_yr,0.499174,0.493286,-0.005887,0.005887
20260916,2026-09-16,por,peak_funding_requirement,anchor_u,16731486.151978,23369359.176707,6637873.024729,6637873.024729
20260916,2026-09-16,por,peak_funding_requirement,price_uk_tut_gbp,21348149.801427,19198441.366974,-2149708.434454,2149708.434454
20260916,2026-09-16,por,peak_funding_requirement,price_uk_sw_gbp,20441937.921597,19713532.609644,-728405.311954,728405.311954
20260916,2026-09-16,por,peak_funding_requirement,price_rel_us,20325570.964968,19950014.178357,-375556.786611,375556.786611
20260916,2026-09-16,por,peak_funding_requirement,price_rel_in,20044023.690348,19991021.790682,-53001.899666,53001.899666
20260916,2026-09-16,por,peak_funding_requirement,price_rel_row,19946741.550580,20283048.114767,336306.564187,336306.564187
20260916,2026-09-16,por,peak_funding_requirement,price_drift_yr,20500338.697336,19357865.931866,-1142472.765471,1142472.765471
20260916,2026-09-16,por,peak_funding_requirement,overage_price_frac,20249066.410024,19952335.706287,-296730.703737,296730.703737
20260916,2026-09-16,por,peak_funding_requirement,sessions_per_hh_month,20527938.243505,19543453.676053,-984484.567452,984484.567452
20260916,2026-09-16,por,peak_funding_requirement,sessions_cv,20073012.231752,20069131.953940,-3880.277812,3880.277812
20260916,2026-09-16,por,peak_funding_requirement,usage_season_amp,20041170.973060,20138258.626894,97087.653834,97087.653834
20260916,2026-09-16,por,peak_funding_requirement,churn_base,18115717.986131,21627581.980365,3511863.994235,3511863.994235
20260916,2026-09-16,por,peak_funding_requirement,churn_m1_extra,19299851.749820,20680005.266782,1380153.516962,1380153.516962
20260916,2026-09-16,por,peak_funding_requirement,summer_lapse_pre,19645935.898894,20171082.950092,525147.051198,525147.051198
20260916,2026-09-16,por,peak_funding_requirement,progress_continue,20505239.604821,19822126.268505,-683113.336316,683113.336316
20260916,2026-09-16,por,peak_funding_requirement,alevel_continue,20464780.498845,19161510.388968,-1303270.109877,1303270.109877
20260916,2026-09-16,por,peak_funding_requirement,alevel_exit_rate,20100599.682878,20155498.840232,54899.157355,54899.157355
20260916,2026-09-16,por,peak_funding_requirement,exam_carryover,20147186.554458,19934106.300863,-213080.253595,213080.253595
